16.05 20:08:30> Started trip loader task
16.05 20:09:35> Started trip loader task
16.05 20:11:14> Started trip loader task
16.05 20:12:51> Started trip loader task
16.05 20:14:03> Started trip loader task
16.05 20:14:04> 1: [461849] ПИЗА | 7д | 2348 км | 5181р | R1398
16.05 20:14:42> 88: [459454] АНТВЕРПЕН | 13д | 2232 км | 20105р | R439
16.05 20:14:42> 89: [454916] NEWCASTLE | 3д | 2452 км | 20394р | R265
16.05 20:14:42> 90: [475038] ТУЛУЗА | 3д | 2890 км | 20707р | R325
16.05 20:14:42> 91: [454817] EINDHOVEN | 7д | 2154 км | 20928р | R259
16.05 20:14:42> 92: [448310] МАЛАГА | 3д | 3779 км | 20978р | R-92
16.05 20:14:42> 93: [455641] MALTA | 3д | 2821 км | 21244р | R-69
16.05 20:14:42> 94: [449575] СПЛИТ | 21д | 2035 км | 21299р | R267
16.05 20:14:42> 95: [447629] НЕАПОЛЬ | 3д | 2374 км | 21434р | R-258
16.05 20:14:42> 96: [455188] SHANNON | 21д | 2987 км | 21531р | R641
16.05 20:14:42> 97: [455019] CATANIA | 11д | 2641 км | 21621р | R-132
16.05 20:14:42> 98: [455161] CASABLANCA | 10д | 4235 км | 21662р | R395
16.05 20:14:42> 99: [459420] МАНЧЕСТЕР | 29д | 2543 км | 21919р | R-260
16.05 20:14:42> 100: [454614] BELFAST | 7д | 2723 км | 22249р | R253
16.05 20:14:42> 101: [454607] LEEDS | 2д | 2482 км | 22841р | R15
16.05 20:14:42> 102: [447079] ДУБРОВНИК | 2д | 2020 км | 23016р | R-238
16.05 20:14:42> 103: [474424] АСТАНА | 0д | 2280 км | 23316р | R-208
16.05 20:14:42> 104: [454843] TUNIS | 344д | 2939 км | 23323р | R72
16.05 20:14:42> 105: [459605] ИРКУТСК | 16д | 4208 км | 23547р | R279
16.05 20:14:42> 106: [455732] ABU DHABI | 3д | 3738 км | 23615р | R391
16.05 20:14:42> 107: [451308] НЬЮ-ДЕЛИ | 30д | 4343 км | 24049р | R241
16.05 20:14:42> 108: [461702] БОРДО | 7д | 2925 км | 24269р | R301
16.05 20:14:42> 109: [455166] STAVANGER | 10д | 1926 км | 24721р | R71
16.05 20:14:42> 110: [448925] ПИЗА | 7д | 2348 км | 24912р | R-410
16.05 20:14:42> 111: [459121] BANGKOK | 9д | 7068 км | 25054р | R277
16.05 20:14:42> 112: [448657] ПАФОС | 33д | 2373 км | 25077р | R221
16.05 20:14:42> 113: [446983] ФЛОРЕНЦИЯ | 3д | 2293 км | 25319р | R-668
16.05 20:14:42> 114: [459575] МИКОНОС | 6д | 2235 км | 25451р | R222
16.05 20:14:42> 115: [459400] ГЛАЗГО | 1д | 2576 км | 25925р | R-118
16.05 20:14:42> 116: [454821] MUSCAT | 1д | 3957 км | 26140р | R141
16.05 20:14:42> 117: [447680] ПАЛЕРМО | 3д | 2670 км | 26339р | R82
16.05 20:14:42> 118: [454913] BAHRAIN | 37д | 3443 км | 26694р | R187
16.05 20:14:42> 119: [451789] ПЕКИН | 6д | 5795 км | 26783р | R-178
16.05 20:14:42> 120: [454908] TRONDHEIM | 4д | 1735 км | 26892р | R-74
16.05 20:14:42> 121: [447663] ПОРТУ | 7д | 3689 км | 26958р | R-163
16.05 20:14:42> 122: [450274] ПУЛА | 35д | 2054 км | 27388р | R-49
16.05 20:14:42> 123: [466445] СЕВИЛЬЯ | 7д | 3820 км | 27453р | R123
16.05 20:14:42> 124: [474181] ГАМБУРГ | 0д | 1782 км | 27821р | R-1532
16.05 20:14:42> 125: [455705] BERGEN | 7д | 1946 км | 27830р | R-172
16.05 20:14:42> 126: [459375] ПХУКЕТ | 8д | 7462 км | 28138р | R163
16.05 20:14:42> 127: [474999] КАИР | 0д | 2893 км | 28277р | R-367
16.05 20:14:42> 128: [466774] ГРАНАДА | 13д | 3692 км | 28896р | R147
16.05 20:14:42> 129: [459551] МОНПЕЛЬЕ | 27д | 2740 км | 28929р | R-35
16.05 20:14:42> 130: [465682] НЬЮ-ЙОРК | 6д | 7512 км | 28933р | R-246
16.05 20:14:42> 131: [454127] ХУРГАДА | 13д | 3192 км | 29413р | R-119
16.05 20:14:42> 132: [459422] АВИНЬОН | 4д | 2659 км | 29477р | R1099
16.05 20:14:42> 133: [455476] FARO | 14д | 3968 км | 29576р | R112
16.05 20:14:42> 134: [466777] САН-СЕБАСТЬЯН | 2д | 3119 км | 29857р | R-4
16.05 20:14:42> 135: [466937] ФУНШАЛ | 7д | 4867 км | 29918р | R193
16.05 20:14:42> 136: [454479] АММАН | 12д | 2676 км | 30071р | R338
16.05 20:14:42> 137: [455280] TENERIFE | 7д | 5233 км | 30375р | R-233
16.05 20:14:42> 138: [459543] БРЕСТ | 7д | 2934 км | 30456р | R83
16.05 20:14:42> 139: [466767] КАЛЬЯРИ | 14д | 2788 км | 30791р | R-63
16.05 20:14:42> 140: [451608] ХОШИМИН | 25д | 7713 км | 31519р | R-130
16.05 20:14:42> 141: [455628] PORTLAND | 116д | 7070 км | 32446р | R182
16.05 20:14:42> 142: [466102] АЛЬГЕРО | 15д | 2714 км | 33068р | R59
16.05 20:14:42> 143: [450764] СЕУЛ | 16д | 6607 км | 33408р | R134
16.05 20:14:42> 144: [466271] БАНГАЛОР | 49д | 5846 км | 33726р | R-70
16.05 20:14:42> 145: [465809] ТОКИО | 8д | 7480 км | 34133р | R137
16.05 20:14:42> 146: [450204] ЗАДАР | 29д | 2039 км | 34221р | R-82
16.05 20:14:42> 147: [458977] SHANGHAI | 7д | 6819 км | 34923р | R-186
16.05 20:14:42> 148: [451428] ГУАНЧЖОУ | 14д | 6993 км | 35038р | R-338
16.05 20:14:42> 149: [448627] КАРЛОВЫ ВАРЫ | 14д | 1755 км | 35363р | R211
16.05 20:14:42> 150: [466063] ГОНКОНГ | 6д | 7151 км | 35609р | R-339
16.05 20:14:42> 151: [448898] ЧИКАГО | 2д | 8001 км | 35731р | R-461
16.05 20:14:42> 152: [465745] ХАНОЙ | 34д | 6717 км | 35755р | R-26
16.05 20:14:42> 153: [466356] ДЖАКАРТА | 16д | 9314 км | 36063р | R-47
16.05 20:14:42> 154: [448844] РЕЙКЬЯВИК | 7д | 3306 км | 36184р | R-113
16.05 20:14:42> 155: [464468] АТЛАНТА | 10д | 8654 км | 36390р | R-48
16.05 20:14:42> 156: [454460] КОЛОМБО | 309д | 6575 км | 36545р | R-372
16.05 20:14:42> 157: [448527] МУМБАИ | 2д | 5027 км | 36698р | R-338
16.05 20:14:42> 158: [457416] СИНГАПУР | 14д | 8431 км | 36917р | R65
16.05 20:14:42> 159: [466094] ХАНЧЖОУ | 28д | 6841 км | 37114р | R-132
16.05 20:14:42> 160: [454411] ВАШИНГТОН | 2д | 7824 км | 37274р | R-526
16.05 20:14:42> 161: [448882] ЙОХАННЕСБУРГ | 3д | 9161 км | 37535р | R190
16.05 20:14:42> 162: [459219] КУНЬМИН | 20д | 6195 км | 37755р | R-188
16.05 20:14:42> 163: [465890] СИАНЬ | 31д | 5768 км | 38049р | R-19
16.05 20:14:42> 164: [447655] РИМИНИ | 3д | 2196 км | 38108р | R-185
16.05 20:14:42> 165: [466826] ЧЕННАЙ | 41д | 5991 км | 38233р | R-197
16.05 20:14:42> 166: [454753] HAVANA | 7д | 9603 км | 38256р | R2
16.05 20:14:42> 167: [450495] МАРРАКЕШ | 40д | 4427 км | 38412р | R-551
16.05 20:14:42> 168: [448888] УХАНЬ | 1д | 6412 км | 38471р | R-651
16.05 20:14:42> 169: [459202] CHARLOTTE | 10д | 8349 км | 38558р | R-26
16.05 20:14:42> 170: [451698] ЛОС-АНДЖЕЛЕС | 23д | 9772 км | 39039р | R-356
16.05 20:14:42> 171: [459489] ДАЛЯНЬ | 45д | 6175 км | 39733р | R-350
16.05 20:14:42> 172: [466672] ЦИНДАО | 24д | 6328 км | 39766р | R-28
16.05 20:14:42> 173: [459124] CINCINNATI | 49д | 8143 км | 39941р | R218
16.05 20:14:42> 174: [466178] ШЭНЬЧЖЭНЬ | 7д | 7115 км | 39999р | R-48
16.05 20:14:42> 175: [465879] ЧЭНДУ | 14д | 5789 км | 40038р | R-189
16.05 20:14:42> 176: [455811] GRAN CANARIA | 7д | 5188 км | 40419р | R-613
16.05 20:14:42> 177: [451699] ЧАНГ МАЙ | 14д | 6514 км | 40583р | R96
16.05 20:14:42> 178: [466745] ТОРОНТО | 11д | 7486 км | 40772р | R13
16.05 20:14:42> 179: [447992] ПНОМ ПЕНЬ | 7д | 7534 км | 41070р | R-32
16.05 20:14:42> 180: [466984] КАТМАНДУ | 8д | 4894 км | 41147р | R-176
16.05 20:14:42> 181: [448105] МАНИЛА | 150д | 8259 км | 41681р | R-543
16.05 20:14:42> 182: [465886] СИЕМРЕАП | 9д | 7300 км | 42303р | R90
16.05 20:14:42> 183: [448748] КОЧИ | 94д | 6086 км | 42720р | R-297
16.05 20:14:42> 184: [459272] БОСТОН | 8д | 7221 км | 42912р | R77
16.05 20:14:42> 185: [459316] ФОРТ-ЛОДЕРДЕЙЛ | 12д | 9188 км | 43203р | R-406
16.05 20:14:42> 186: [455966] БАЛИ (ДЕНПАСАР) | 14д | 10047 км | 43296р | R-28
16.05 20:14:42> 187: [448775] ЛАС-ВЕГАС | 14д | 9481 км | 43644р | R70
16.05 20:14:42> 188: [466475] ПАТТАЙЯ | 11д | 7196 км | 43669р | R348
16.05 20:14:42> 189: [459092] OAKLAND | 8д | 9441 км | 44144р | R-13
16.05 20:14:42> 190: [454602] JEDDAH | 27д | 3793 км | 44243р | R-409
16.05 20:14:42> 191: [459091] SAN JOSE | 9д | 9485 км | 44534р | R-190
16.05 20:14:42> 192: [466313] ТАЙБЭЙ | 55д | 7357 км | 45713р | R-105
16.05 20:14:42> 193: [466609] САН-ФРАНЦИСКО | 21д | 9447 км | 45819р | R-139
16.05 20:14:42> 194: [473768] КУАЛА-ЛУМПУР | 1д | 8129 км | 45984р | R-1108
16.05 20:14:42> 195: [466818] БАНДУНГ | 13д | 9423 км | 46839р | R46
16.05 20:14:42> 196: [459125] PORTLAND | 12д | 8597 км | 47127р | R-177
16.05 20:14:42> 197: [458915] CAPE TOWN | 14д | 10142 км | 48035р | R174
16.05 20:14:42> 198: [454825] LIVERPOOL | 8д | 2587 км | 48297р | R-353
16.05 20:14:42> 199: [466092] ОРЛАНДО | 30д | 9017 км | 48867р | R-180
16.05 20:14:42> 200: [454723] DAKAR | 14д | 6512 км | 48999р | R150
16.05 20:14:42> 201: [466489] ХЬЮСТОН | 12д | 9518 км | 49259р | R-430
16.05 20:14:42> 202: [459128] SALT LAKE CITY | 28д | 8905 км | 49322р | R-138
16.05 20:14:42> 203: [466773] САН-ДИЕГО | 4д | 9892 км | 49513р | R-201
16.05 20:14:42> 204: [454584] CEBU | 34д | 8837 км | 49815р | R66
16.05 20:14:42> 205: [455006] PUNTA CANA | 14д | 9267 км | 51224р | R121
16.05 20:14:42> 206: [448076] МЕХИКО | 14д | 10723 км | 52009р | R84
16.05 20:14:42> 207: [463678] НЯЧАНГ | 7д | 7738 км | 52215р | R-408
16.05 20:14:42> 208: [459216] DENVER | 12д | 8826 км | 52382р | R-360
16.05 20:14:42> 209: [459568] ОСТЕНДЕ | 6д | 2326 км | 52478р | R-211
16.05 20:14:42> 210: [458952] SAN JUAN | 13д | 9146 км | 53029р | R-194
16.05 20:14:42> 211: [459204] PHILADELPHIA | 15д | 7637 км | 53067р | R-77
16.05 20:14:42> 212: [459212] SEATTLE | 14д | 8373 км | 54537р | R-86
16.05 20:14:42> 213: [459404] ДАЛЛАС | 8д | 9263 км | 54575р | R-341
16.05 20:14:42> 214: [448785] МОНРЕАЛЬ | 2д | 7055 км | 55528р | R-887
16.05 20:14:42> 215: [458989] OTTAWA | 7д | 7161 км | 56169р | R-432
16.05 20:14:42> 216: [459491] ПЕРТ | 40д | 12222 км | 57248р | R67
16.05 20:14:42> 217: [455170] PANAMA CITY | 7д | 10804 км | 60021р | R-460
16.05 20:14:42> 218: [458950] WINNIPEG | 10д | 7548 км | 60638р | R-411
16.05 20:14:42> 219: [471310] СИДНЕЙ | 2д | 14500 км | 61012р | R-474
16.05 20:14:42> 220: [454609] PHILIPSBURG | 14д | 9009 км | 64638р | R-16
16.05 20:14:42> 221: [455470] NASSAU | 7д | 9147 км | 66336р | R-45
16.05 20:14:42> 222: [459089] CALGARY | 10д | 7847 км | 66730р | R45
16.05 20:14:42> 223: [458918] EDMONTON | 16д | 7580 км | 67695р | R307
16.05 20:14:42> 224: [466033] МЕЛЬБУРН | 176д | 14431 км | 67701р | R-187
16.05 20:14:42> 225: [448851] ОКЛЕНД | 38д | 16203 км | 69234р | R102
16.05 20:14:42> 226: [459396] САНТО-ДОМИНГО | 10д | 9366 км | 70808р | R-604
16.05 20:14:42> 227: [459171] VANCOUVER | 14д | 8204 км | 72361р | R-370
16.05 20:14:42> 228: [446811] РИО-ДЕ-ЖАНЕЙРО | 6д | 11542 км | 72830р | R-210
16.05 20:14:42> 229: [455191] CHRISTCHURCH | 10д | 16573 км | 72934р | R-85
16.05 20:14:42> 230: [448887] ГОНОЛУЛУ | 3д | 11325 км | 74246р | R-396
16.05 20:14:42> 231: [466815] КИТО | 14д | 11619 км | 76439р | R113
16.05 20:14:42> 232: [465816] БОГОТА | 61д | 10907 км | 80403р | R-503
16.05 20:14:42> 233: [459567] КВИНСТАУН | 3д | 16441 км | 80738р | R-25
16.05 20:14:42> 234: [454600] CANBERRA | 2д | 14491 км | 81445р | R-337
16.05 20:14:42> 235: [465761] САН-ПАУЛУ | 1д | 11818 км | 82596р | R-844
16.05 20:14:42> 236: [459222] АКАПУЛЬКО | 14д | 11022 км | 85465р | R-181
16.05 20:14:42> 237: [459512] САН-ХОСЕ | 4д | 10961 км | 88910р | R-447
16.05 20:14:42> 238: [458919] ANCHORAGE | 14д | 6993 км | 89568р | R-341
16.05 20:14:42> 239: [450884] БУЭНОС-АЙРЕС | 14д | 13479 км | 93388р | R-148
16.05 20:14:42> 240: [459619] СИАНУКВИЛЬ | 14д | 7536 км | 93545р | R-498
16.05 20:14:42> 241: [451158] САНТЬЯГО | 7д | 14125 км | 118071р | R-548
16.05 20:14:42> 242: [474819] КАНКУН | 0д | 10014 км | 121351р | R-2249
16.05 20:14:42> 243: [473654] ЛИМА | 0д | 12649 км | 130142р | R-1805
16.05 20:14:42> 244: [466065] КУСКО | 15д | 12472 км | 130415р | R-818
16.05 20:14:42> 245: [459492] АГРА | 7д | 4519 км | 183177р | R293
16.05 20:15:37> Started trip loader task
16.05 20:15:38> 1: [461849] ПИЗА | 7д | 2348 км | 5181р | R1398
16.05 20:15:38> 2: [460556] РИМИНИ | 7д | 2196 км | 9254р | R1310
16.05 20:15:38> 3: [455192] TENERIFE | 7д | 5233 км | 12768р | R1118
16.05 20:15:38> 4: [459422] АВИНЬОН | 4д | 2659 км | 29477р | R1099
16.05 20:15:38> 5: [474084] ПАТТАЙЯ | 8д | 7196 км | 19806р | R1070
16.05 20:15:38> 6: [472127] ПАФОС | 7д | 2373 км | 18032р | R903
16.05 20:15:38> 7: [459496] СТРАСБУРГ | 7д | 2167 км | 9685р | R889
16.05 20:15:38> 8: [454469] ТУЛУЗА | 6д | 2890 км | 12448р | R861
16.05 20:15:38> 9: [448834] РЕЙКЬЯВИК | 3д | 3306 км | 17748р | R846
16.05 20:15:38> 10: [447665] ПАЛЕРМО | 5д | 2670 км | 14096р | R836
16.05 20:15:38> 11: [447140] МАРРАКЕШ | 8д | 4427 км | 15222р | R829
16.05 20:15:38> 12: [446962] ФЛОРЕНЦИЯ | 3д | 2293 км | 9132р | R826
16.05 20:15:38> 13: [455080] CASABLANCA | 7д | 4235 км | 13302р | R804
16.05 20:15:38> 14: [469888] НИЦЦА | 3д | 2537 км | 9934р | R795
16.05 20:15:38> 15: [448802] ВАРНА | 7д | 1558 км | 8908р | R777
16.05 20:15:38> 16: [450209] ПУЛА | 3д | 2054 км | 13118р | R765
16.05 20:15:38> 17: [455716] ABU DHABI | 8д | 3738 км | 18475р | R746
16.05 20:15:38> 18: [455185] MULHOUSE | 3д | 2244 км | 12133р | R737
16.05 20:15:38> 19: [465847] ЭДИНБУРГ | 8д | 2510 км | 12393р | R733
16.05 20:15:38> 20: [455479] FARO | 14д | 3968 км | 19163р | R715
16.05 20:15:38> 21: [459859] МИЛАН | 7д | 2286 км | 7189р | R715
16.05 20:15:38> 22: [459628] ПАЛЬМА | 15д | 3123 км | 13900р | R712
16.05 20:15:38> 23: [448956] ТИВАТ | 17д | 2011 км | 7901р | R708
16.05 20:15:38> 24: [448749] БОРДО | 14д | 2925 км | 16083р | R705
16.05 20:15:38> 25: [455536] HERAKLION | 11д | 2460 км | 13952р | R701
16.05 20:15:38> 26: [454911] BAHRAIN | 14д | 3443 км | 19834р | R698
16.05 20:15:38> 27: [448467] ФУНШАЛ | 8д | 4867 км | 20693р | R695
16.05 20:15:38> 28: [470136] ПОРТУ | 8д | 3689 км | 15364р | R685
16.05 20:15:38> 29: [454823] LIVERPOOL | 5д | 2587 км | 20926р | R670
16.05 20:15:38> 30: [459022] GENEVA | 5д | 2419 км | 11000р | R663
16.05 20:15:38> 31: [459453] АНТВЕРПЕН | 20д | 2232 км | 14390р | R659
16.05 20:15:38> 32: [466139] ПНОМ ПЕНЬ | 14д | 7534 км | 24855р | R657
16.05 20:15:38> 33: [448536] АФИНЫ | 5д | 2229 км | 10036р | R656
16.05 20:15:38> 34: [454814] EINDHOVEN | 5д | 2154 км | 14814р | R656
16.05 20:15:38> 35: [454887] TUNIS | 9д | 2939 км | 17947р | R651
16.05 20:15:38> 36: [472765] БАРСЕЛОНА | 10д | 3010 км | 10173р | R645
16.05 20:15:38> 37: [448441] ГЕЛЕНДЖИК | 12д | 1244 км | 8427р | R643
16.05 20:15:38> 38: [455188] SHANNON | 21д | 2987 км | 21531р | R641
16.05 20:15:38> 39: [448152] ТУРИН | 4д | 2404 км | 12652р | R640
16.05 20:15:38> 40: [463069] ХАНОЙ | 12д | 6717 км | 25261р | R636
16.05 20:15:38> 41: [466945] АСТАНА | 21д | 2280 км | 15943р | R618
16.05 20:15:38> 42: [448186] СЕВИЛЬЯ | 9д | 3820 км | 18103р | R608
16.05 20:15:38> 43: [447044] ЛИССАБОН | 4д | 3908 км | 12020р | R608
16.05 20:15:38> 44: [446736] РИМ | 9д | 2377 км | 9137р | R606
16.05 20:15:38> 45: [447731] БРЮССЕЛЬ | 3д | 2253 км | 10195р | R605
16.05 20:15:38> 46: [447615] НЕАПОЛЬ | 7д | 2374 км | 12988р | R601
16.05 20:15:38> 47: [455741] BIRMINGHAM | 14д | 2565 км | 13681р | R597
16.05 20:15:38> 48: [461316] ЛИОН | 5д | 2528 км | 12641р | R593
16.05 20:15:38> 49: [454413] КАИР | 15д | 2893 км | 17935р | R592
16.05 20:15:38> 50: [472118] КАРЛОВЫ ВАРЫ | 21д | 1755 км | 23817р | R591
16.05 20:15:38> 51: [466248] МЕХИКО | 20д | 10723 км | 34752р | R590
16.05 20:15:38> 52: [448753] МАРСЕЛЬ | 3д | 2673 км | 13605р | R588
16.05 20:15:38> 53: [451131] САНТЬЯГО | 14д | 14125 км | 51580р | R588
16.05 20:15:38> 54: [454819] MUSCAT | 3д | 3957 км | 20775р | R587
16.05 20:15:38> 55: [455162] STAVANGER | 5д | 1926 км | 14270р | R582
16.05 20:15:38> 56: [472323] ДРЕЗДЕН | 13д | 1651 км | 10810р | R575
16.05 20:15:38> 57: [455020] CATANIA | 7д | 2641 км | 13117р | R568
16.05 20:15:38> 58: [471673] АНТАЛЬЯ | 11д | 2159 км | 11106р | R563
16.05 20:15:38> 59: [454472] АММАН | 13д | 2676 км | 23836р | R559
16.05 20:15:38> 60: [474429] АЛМАТЫ | 6д | 3105 км | 10306р | R555
16.05 20:15:38> 61: [467872] БУДАПЕШТ | 5д | 1569 км | 7326р | R551
16.05 20:15:38> 62: [447531] ПЕКИН | 7д | 5795 км | 18487р | R550
16.05 20:15:38> 63: [466210] БОЛОНЬЯ | 4д | 2232 км | 12487р | R550
16.05 20:15:38> 64: [453181] ВЕРОНА | 10д | 2182 км | 10966р | R547
16.05 20:15:38> 65: [447923] ГОНКОНГ | 10д | 7151 км | 25035р | R543
16.05 20:15:38> 66: [450706] СЕУЛ | 7д | 6607 км | 22496р | R542
16.05 20:15:38> 67: [451280] НЬЮ-ДЕЛИ | 15д | 4343 км | 17602р | R538
16.05 20:15:38> 68: [454721] DAKAR | 14д | 6512 км | 35369р | R530
16.05 20:15:38> 69: [454726] HAVANA | 14д | 9603 км | 31808р | R528
16.05 20:15:38> 70: [449548] СПЛИТ | 38д | 2035 км | 16844р | R526
16.05 20:15:38> 71: [448777] МОНРЕАЛЬ | 11д | 7055 км | 28340р | R524
16.05 20:15:38> 72: [459096] BANGKOK | 19д | 7068 км | 21594р | R523
16.05 20:15:38> 73: [471859] ДЮССЕЛЬДОРФ | 7д | 2083 км | 7577р | R518
16.05 20:15:38> 74: [472014] МУМБАИ | 16д | 5027 км | 26532р | R512
16.05 20:15:38> 75: [450527] МАДРИД | 5д | 3441 км | 12060р | R511
16.05 20:15:38> 76: [448528] ДУБЛИН | 15д | 2790 км | 14264р | R506
16.05 20:15:38> 77: [459423] БАКУ | 132д | 1925 км | 7552р | R505
16.05 20:15:38> 78: [455521] GOTHENBORG | 4д | 1569 км | 10463р | R504
16.05 20:15:38> 79: [455391] LJUBLJANA | 24д | 1922 км | 12649р | R499
16.05 20:15:38> 80: [447074] ДУБРОВНИК | 7д | 2020 км | 15045р | R498
16.05 20:15:38> 81: [447779] ТОКИО | 7д | 7480 км | 27984р | R497
16.05 20:15:38> 82: [454438] КОЛОМБО | 14д | 6575 км | 24497р | R494
16.05 20:15:38> 83: [460041] АМСТЕРДАМ | 3д | 2148 км | 10260р | R491
16.05 20:15:38> 84: [451218] БАТУМИ | 7д | 1599 км | 13870р | R490
16.05 20:15:38> 85: [459569] МИКОНОС | 11д | 2235 км | 19877р | R479
16.05 20:15:38> 86: [459406] МАНЧЕСТЕР | 12д | 2543 км | 13486р | R479
16.05 20:15:38> 87: [451549] ХОШИМИН | 17д | 7713 км | 23978р | R476
16.05 20:15:38> 88: [455630] MALTA | 8д | 2821 км | 14752р | R467
16.05 20:15:38> 89: [448311] НЯЧАНГ | 11д | 7738 км | 31103р | R461
16.05 20:15:38> 90: [447177] ВЕНЕЦИЯ | 3д | 2103 км | 11013р | R461
16.05 20:15:38> 91: [455882] БАЛИ (ДЕНПАСАР) | 21д | 10047 км | 30187р | R452
16.05 20:15:38> 92: [448574] АНАПА | 8д | 1207 км | 7765р | R448
16.05 20:15:38> 93: [447407] ГУАНЧЖОУ | 7д | 6993 км | 22733р | R445
16.05 20:15:38> 94: [455761] GRAN CANARIA | 12д | 5188 км | 22818р | R444
16.05 20:15:38> 95: [467428] ЛОНДОН | 12д | 2489 км | 11032р | R444
16.05 20:15:38> 96: [471142] НЬЮ-ЙОРК | 12д | 7512 км | 23783р | R443
16.05 20:15:38> 97: [448881] ЙОХАННЕСБУРГ | 16д | 9161 км | 32517р | R441
16.05 20:15:38> 98: [458897] CAPE TOWN | 14д | 10142 км | 38132р | R441
16.05 20:15:38> 99: [449394] СТАМБУЛ | 158д | 1764 км | 6774р | R436
16.05 20:15:38> 100: [466747] КАЛЬЯРИ | 9д | 2788 км | 20483р | R435
16.05 20:15:38> 101: [454461] ГАННОВЕР | 3д | 1845 км | 10824р | R433
16.05 20:15:38> 102: [454915] NEWCASTLE | 12д | 2452 км | 19269р | R430
16.05 20:15:38> 103: [455435] NASSAU | 28д | 9147 км | 44552р | R427
16.05 20:15:38> 104: [459545] МОНПЕЛЬЕ | 9д | 2740 км | 22932р | R423
16.05 20:15:38> 105: [470670] ВЕНА | 9д | 1670 км | 6930р | R418
16.05 20:15:38> 106: [459620] НЮРНБЕРГ | 12д | 1910 км | 12668р | R414
16.05 20:15:38> 107: [450931] КРАКОВ | 5д | 1346 км | 14351р | R412
16.05 20:15:38> 108: [454617] BREMEN | 7д | 1876 км | 12444р | R410
16.05 20:15:38> 109: [466302] ТАЙБЭЙ | 9д | 7357 км | 32965р | R410
16.05 20:15:38> 110: [455706] BERGEN | 6д | 1946 км | 17263р | R404
16.05 20:15:38> 111: [448845] ОКЛЕНД | 10д | 16203 км | 48166р | R398
16.05 20:15:38> 112: [473421] ДУБАЙ | 9д | 3682 км | 16377р | R398
16.05 20:15:38> 113: [454947] PUNTA CANA | 15д | 9267 км | 38427р | R396
16.05 20:15:38> 114: [466970] КАТМАНДУ | 14д | 4894 км | 28756р | R395
16.05 20:15:38> 115: [448261] ГАМБУРГ | 3д | 1782 км | 10083р | R393
16.05 20:15:38> 116: [459586] ИРКУТСК | 8д | 4208 км | 22398р | R392
16.05 20:15:38> 117: [454398] ВАШИНГТОН | 7д | 7824 км | 31824р | R391
16.05 20:15:38> 118: [457263] ЕКАТЕРИНБУРГ | 3д | 1430 км | 4367р | R389
16.05 20:15:38> 119: [459280] АЛИКАНТЕ | 21д | 3410 км | 17419р | R383
16.05 20:15:38> 120: [466675] ЛЬВОВ | 8д | 1128 км | 9955р | R367
16.05 20:15:38> 121: [448723] ХУРГАДА | 7д | 3192 км | 22197р | R366
16.05 20:15:38> 122: [448889] ЧИКАГО | 24д | 8001 км | 32406р | R362
16.05 20:15:38> 123: [465880] СИЕМРЕАП | 10д | 7300 км | 35542р | R361
16.05 20:15:38> 124: [455189] CHRISTCHURCH | 14д | 16573 км | 62247р | R359
16.05 20:15:38> 125: [458997] HELSINKI | 4д | 894 км | 8073р | R357
16.05 20:15:38> 126: [459554] КВИНСТАУН | 14д | 16441 км | 65575р | R356
16.05 20:15:38> 127: [448297] МАЛАГА | 7д | 3779 км | 16224р | R355
16.05 20:15:38> 128: [448157] СИНГАПУР | 14д | 8431 км | 27749р | R353
16.05 20:15:38> 129: [455296] BUCHAREST | 15д | 1499 км | 11029р | R349
16.05 20:15:38> 130: [465922] СИДНЕЙ | 20д | 14500 км | 55623р | R347
16.05 20:15:38> 131: [455826] STUTTGART | 7д | 2067 км | 12290р | R346
16.05 20:15:38> 132: [446775] ПАРИЖ | 10д | 2487 км | 12401р | R342
16.05 20:15:38> 133: [466095] АЛЬГЕРО | 4д | 2714 км | 26056р | R340
16.05 20:15:38> 134: [458917] EDMONTON | 31д | 7580 км | 59220р | R336
16.05 20:15:38> 135: [459459] ТИРАНА | 15д | 2055 км | 16263р | R336
16.05 20:15:38> 136: [465902] ТЕЛЬ-АВИВ | 11д | 2650 км | 12563р | R335
16.05 20:15:38> 137: [448859] КАНКУН | 14д | 10014 км | 43073р | R327
16.05 20:15:38> 138: [448141] ДЖАКАРТА | 25д | 9314 км | 27178р | R321
16.05 20:15:38> 139: [465986] МИНСК | 8д | 675 км | 3553р | R319
16.05 20:15:38> 140: [466521] ОДЕССА | 17д | 1142 км | 10451р | R317
16.05 20:15:38> 141: [459397] ГЛАЗГО | 12д | 2576 км | 21382р | R316
16.05 20:15:38> 142: [454621] THESSALONIKI | 8д | 2004 км | 9969р | R310
16.05 20:15:38> 143: [447916] МЕЛЬБУРН | 14д | 14431 км | 53979р | R310
16.05 20:15:38> 144: [449214] РИО-ДЕ-ЖАНЕЙРО | 17д | 11542 км | 51577р | R309
16.05 20:15:38> 145: [448077] БАНГАЛОР | 7д | 5846 км | 28916р | R307
16.05 20:15:38> 146: [466717] ТОРОНТО | 8д | 7486 км | 34263р | R301
16.05 20:15:38> 147: [458951] SAN JUAN | 14д | 9146 км | 49131р | R297
16.05 20:15:38> 148: [459492] АГРА | 7д | 4519 км | 183177р | R293
16.05 20:15:38> 149: [447684] ЗАГРЕБ | 14д | 1869 км | 13363р | R291
